Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
20000;	5;	2997;	7000;	10000;	0;	100%;	1;	0;	1;	0;	95%;	100%;	1;	0;	1;	0;	90%;	100%;	1;	1;	0;	0;	73%;	100%;	65%;	90%;	48%;	70%;	22%;	53%;	NaN%;	NaN%;	
25000;	5;	3747;	8750;	12500;	0;	100%;	1;	0;	0;	1;	86%;	100%;	0;	0;	0;	0;	85%;	100%;	1;	0;	1;	0;	75%;	100%;	52%;	89%;	36%;	70%;	15%;	53%;	NaN%;	NaN%;	
30000;	5;	4497;	10500;	15000;	0;	100%;	1;	0;	1;	0;	87%;	100%;	0;	0;	0;	0;	93%;	100%;	1;	0;	1;	0;	82%;	100%;	67%;	91%;	49%;	70%;	23%;	53%;	NaN%;	NaN%;	
35000;	5;	5247;	12250;	17500;	0;	96%;	0;	0;	0;	0;	89%;	100%;	0;	0;	0;	0;	89%;	100%;	0;	0;	0;	0;	87%;	100%;	58%;	90%;	42%;	70%;	19%;	53%;	NaN%;	NaN%;	
40000;	5;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	94%;	100%;	1;	1;	0;	0;	92%;	100%;	1;	1;	0;	0;	90%;	100%;	75%;	91%;	57%;	70%;	27%;	53%;	NaN%;	NaN%;	
45000;	5;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	87%;	100%;	1;	0;	1;	0;	89%;	100%;	70%;	91%;	52%;	70%;	25%;	53%;	NaN%;	NaN%;	
50000;	5;	7497;	17500;	25000;	0;	100%;	1;	0;	1;	0;	86%;	100%;	0;	0;	0;	0;	88%;	100%;	0;	0;	0;	0;	86%;	100%;	59%;	90%;	42%;	70%;	19%;	53%;	NaN%;	NaN%;	
5000;	6;	747;	1750;	2500;	0;	100%;	3;	1;	1;	1;	91%;	100%;	0;	0;	0;	0;	89%;	100%;	1;	1;	0;	0;	87%;	83%;	65%;	90%;	48%;	68%;	22%;	51%;	NaN%;	NaN%;	
10000;	6;	1497;	3500;	5000;	0;	100%;	1;	1;	0;	0;	79%;	100%;	0;	0;	0;	0;	85%;	100%;	0;	0;	0;	0;	85%;	100%;	61%;	88%;	45%;	68%;	21%;	51%;	NaN%;	NaN%;	
15000;	6;	2247;	5250;	7500;	0;	100%;	2;	1;	0;	1;	91%;	100%;	2;	1;	1;	0;	90%;	83%;	1;	1;	0;	0;	92%;	83%;	67%;	89%;	50%;	69%;	23%;	51%;	NaN%;	NaN%;	
20000;	6;	2997;	7000;	10000;	0;	99%;	1;	1;	0;	0;	86%;	100%;	1;	1;	0;	0;	86%;	100%;	1;	0;	1;	0;	86%;	100%;	66%;	89%;	50%;	68%;	24%;	52%;	NaN%;	NaN%;	
25000;	6;	3747;	8750;	12500;	0;	100%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	89%;	100%;	68%;	89%;	52%;	68%;	24%;	52%;	NaN%;	NaN%;	
30000;	6;	4497;	10500;	15000;	0;	99%;	1;	0;	1;	0;	93%;	100%;	1;	1;	0;	0;	80%;	100%;	0;	0;	0;	0;	89%;	100%;	61%;	89%;	45%;	69%;	20%;	51%;	NaN%;	NaN%;	
35000;	6;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	78%;	100%;	1;	0;	0;	1;	82%;	100%;	0;	0;	0;	0;	85%;	100%;	60%;	88%;	44%;	68%;	21%;	52%;	NaN%;	NaN%;	
40000;	6;	5997;	14000;	20000;	0;	98%;	0;	0;	0;	0;	88%;	100%;	0;	0;	0;	0;	87%;	100%;	0;	0;	0;	0;	86%;	100%;	60%;	88%;	45%;	68%;	21%;	52%;	NaN%;	NaN%;	
45000;	6;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	80%;	100%;	1;	1;	0;	0;	92%;	83%;	0;	0;	0;	0;	91%;	100%;	62%;	89%;	47%;	68%;	22%;	52%;	NaN%;	NaN%;	
50000;	6;	7497;	17500;	25000;	0;	100%;	1;	0;	1;	0;	88%;	100%;	1;	0;	1;	0;	85%;	100%;	0;	0;	0;	0;	93%;	100%;	67%;	89%;	49%;	68%;	23%;	51%;	NaN%;	NaN%;	
5000;	7;	747;	1750;	2500;	0;	99%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	84%;	100%;	1;	1;	0;	0;	79%;	100%;	66%;	88%;	49%;	68%;	24%;	50%;	NaN%;	NaN%;	
10000;	7;	1497;	3500;	5000;	0;	99%;	1;	1;	0;	0;	76%;	100%;	0;	0;	0;	0;	87%;	100%;	0;	0;	0;	0;	85%;	100%;	64%;	88%;	47%;	68%;	22%;	51%;	NaN%;	NaN%;	
15000;	7;	2247;	5250;	7500;	0;	100%;	1;	0;	1;	0;	81%;	100%;	2;	1;	0;	1;	69%;	100%;	0;	0;	0;	0;	86%;	100%;	60%;	88%;	45%;	67%;	21%;	50%;	NaN%;	NaN%;	
20000;	7;	2997;	7000;	10000;	0;	100%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	83%;	100%;	0;	0;	0;	0;	92%;	100%;	69%;	88%;	53%;	67%;	26%;	51%;	NaN%;	NaN%;	
25000;	7;	3747;	8750;	12500;	0;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	79%;	100%;	0;	0;	0;	0;	91%;	100%;	63%;	87%;	48%;	66%;	23%;	50%;	NaN%;	NaN%;	
30000;	7;	4497;	10500;	15000;	0;	100%;	1;	1;	0;	0;	82%;	100%;	0;	0;	0;	0;	88%;	100%;	1;	1;	0;	0;	86%;	86%;	65%;	88%;	48%;	68%;	23%;	50%;	NaN%;	NaN%;	
35000;	7;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	79%;	100%;	1;	1;	0;	0;	79%;	100%;	0;	0;	0;	0;	91%;	100%;	62%;	88%;	46%;	67%;	22%;	50%;	NaN%;	NaN%;	
40000;	7;	5997;	14000;	20000;	0;	100%;	2;	1;	1;	0;	86%;	100%;	1;	0;	1;	0;	90%;	100%;	1;	1;	0;	0;	81%;	100%;	69%;	88%;	51%;	68%;	24%;	50%;	NaN%;	NaN%;	
45000;	7;	6747;	15750;	22500;	0;	100%;	2;	2;	0;	0;	83%;	100%;	2;	2;	0;	0;	92%;	86%;	1;	0;	1;	0;	89%;	100%;	68%;	88%;	51%;	67%;	24%;	50%;	NaN%;	NaN%;	
50000;	7;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	88%;	86%;	1;	1;	0;	0;	75%;	100%;	0;	0;	0;	0;	87%;	100%;	61%;	88%;	45%;	67%;	21%;	50%;	NaN%;	NaN%;	
5000;	8;	747;	1750;	2500;	0;	100%;	1;	1;	0;	0;	90%;	88%;	1;	0;	1;	0;	85%;	88%;	1;	1;	0;	0;	78%;	88%;	64%;	81%;	47%;	66%;	23%;	49%;	NaN%;	NaN%;	
10000;	8;	1497;	3500;	5000;	0;	100%;	2;	1;	1;	0;	87%;	88%;	2;	0;	1;	1;	91%;	88%;	1;	1;	0;	0;	87%;	88%;	67%;	82%;	49%;	65%;	24%;	48%;	NaN%;	NaN%;	
15000;	8;	2247;	5250;	7500;	0;	100%;	2;	1;	0;	1;	82%;	88%;	1;	1;	0;	0;	76%;	88%;	0;	0;	0;	0;	87%;	88%;	60%;	81%;	45%;	64%;	21%;	50%;	NaN%;	NaN%;	
20000;	8;	2997;	7000;	10000;	0;	99%;	1;	1;	0;	0;	82%;	88%;	0;	0;	0;	0;	92%;	88%;	0;	0;	0;	0;	90%;	88%;	64%;	82%;	46%;	65%;	22%;	48%;	NaN%;	NaN%;	
25000;	8;	3747;	8750;	12500;	0;	100%;	2;	1;	1;	0;	84%;	88%;	1;	1;	0;	0;	88%;	88%;	1;	1;	0;	0;	85%;	88%;	67%;	82%;	49%;	65%;	24%;	49%;	NaN%;	NaN%;	
30000;	8;	4497;	10500;	15000;	0;	100%;	1;	1;	0;	0;	81%;	88%;	1;	1;	0;	0;	78%;	88%;	1;	0;	1;	0;	84%;	88%;	63%;	82%;	47%;	65%;	22%;	49%;	NaN%;	NaN%;	
35000;	8;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	91%;	88%;	1;	1;	0;	0;	82%;	88%;	1;	1;	0;	0;	79%;	88%;	66%;	82%;	49%;	65%;	23%;	49%;	NaN%;	NaN%;	
40000;	8;	5997;	14000;	20000;	0;	99%;	1;	0;	1;	0;	88%;	88%;	0;	0;	0;	0;	89%;	88%;	1;	0;	1;	0;	81%;	88%;	64%;	82%;	48%;	65%;	23%;	49%;	NaN%;	NaN%;	
45000;	8;	6747;	15750;	22500;	0;	100%;	2;	1;	1;	0;	89%;	88%;	1;	1;	0;	0;	89%;	88%;	0;	0;	0;	0;	94%;	88%;	67%;	82%;	50%;	64%;	24%;	49%;	NaN%;	NaN%;	
50000;	8;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	92%;	88%;	0;	0;	0;	0;	93%;	88%;	0;	0;	0;	0;	92%;	88%;	64%;	82%;	46%;	65%;	22%;	48%;	NaN%;	NaN%;	
5000;	9;	747;	1750;	2500;	0;	100%;	2;	2;	0;	0;	80%;	78%;	3;	0;	2;	1;	90%;	78%;	2;	1;	1;	0;	92%;	67%;	70%;	75%;	50%;	63%;	24%;	47%;	NaN%;	NaN%;	
10000;	9;	1497;	3500;	5000;	0;	99%;	1;	1;	0;	0;	96%;	78%;	1;	1;	0;	0;	96%;	78%;	1;	1;	0;	0;	92%;	78%;	76%;	75%;	55%;	62%;	27%;	47%;	NaN%;	NaN%;	
15000;	9;	2247;	5250;	7500;	0;	100%;	1;	1;	0;	0;	91%;	78%;	1;	1;	0;	0;	88%;	78%;	1;	1;	0;	0;	87%;	78%;	68%;	75%;	49%;	62%;	24%;	47%;	NaN%;	NaN%;	
20000;	9;	2997;	7000;	10000;	0;	100%;	3;	1;	2;	0;	87%;	78%;	1;	1;	0;	0;	90%;	78%;	1;	0;	1;	0;	90%;	78%;	69%;	75%;	50%;	61%;	24%;	47%;	NaN%;	NaN%;	
25000;	9;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	83%;	78%;	2;	2;	0;	0;	79%;	78%;	2;	0;	1;	1;	87%;	78%;	67%;	75%;	49%;	61%;	23%;	47%;	NaN%;	NaN%;	
30000;	9;	4497;	10500;	15000;	0;	99%;	1;	1;	0;	0;	79%;	78%;	1;	1;	0;	0;	78%;	78%;	1;	1;	0;	0;	77%;	78%;	63%;	74%;	46%;	61%;	22%;	48%;	NaN%;	NaN%;	
35000;	9;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	86%;	78%;	1;	1;	0;	0;	84%;	78%;	0;	0;	0;	0;	90%;	78%;	60%;	75%;	42%;	62%;	19%;	47%;	NaN%;	NaN%;	
40000;	9;	5997;	14000;	20000;	0;	100%;	1;	1;	0;	0;	82%;	78%;	1;	0;	1;	0;	87%;	78%;	1;	0;	1;	0;	85%;	78%;	61%;	74%;	43%;	62%;	20%;	47%;	NaN%;	NaN%;	
45000;	9;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	81%;	78%;	0;	0;	0;	0;	93%;	78%;	1;	1;	0;	0;	79%;	78%;	66%;	75%;	48%;	62%;	23%;	47%;	NaN%;	NaN%;	
50000;	9;	7497;	17500;	25000;	0;	100%;	2;	0;	2;	0;	91%;	78%;	1;	1;	0;	0;	88%;	78%;	1;	1;	0;	0;	87%;	78%;	67%;	75%;	48%;	62%;	22%;	47%;	NaN%;	NaN%;	
5000;	10;	747;	1750;	2500;	0;	99%;	2;	1;	0;	1;	91%;	70%;	2;	1;	1;	0;	87%;	70%;	2;	2;	0;	0;	83%;	60%;	67%;	68%;	49%;	59%;	23%;	46%;	NaN%;	NaN%;	
10000;	10;	1497;	3500;	5000;	0;	98%;	1;	0;	0;	1;	83%;	70%;	0;	0;	0;	0;	86%;	70%;	0;	0;	0;	0;	86%;	70%;	63%;	68%;	43%;	58%;	20%;	45%;	NaN%;	NaN%;	
15000;	10;	2247;	5250;	7500;	0;	100%;	1;	1;	0;	0;	88%;	70%;	1;	1;	0;	0;	87%;	70%;	1;	1;	0;	0;	82%;	70%;	67%;	68%;	48%;	58%;	22%;	45%;	NaN%;	NaN%;	
20000;	10;	2997;	7000;	10000;	0;	100%;	2;	1;	1;	0;	85%;	70%;	1;	0;	1;	0;	88%;	70%;	1;	1;	0;	0;	79%;	70%;	62%;	68%;	44%;	58%;	20%;	45%;	NaN%;	NaN%;	
25000;	10;	3747;	8750;	12500;	0;	99%;	2;	1;	0;	1;	91%;	70%;	1;	1;	0;	0;	84%;	70%;	1;	1;	0;	0;	82%;	70%;	69%;	68%;	49%;	59%;	22%;	45%;	NaN%;	NaN%;	
30000;	10;	4497;	10500;	15000;	0;	99%;	1;	1;	0;	0;	82%;	70%;	1;	1;	0;	0;	82%;	70%;	1;	1;	0;	0;	81%;	70%;	68%;	68%;	49%;	58%;	23%;	46%;	NaN%;	NaN%;	
35000;	10;	5247;	12250;	17500;	0;	100%;	2;	1;	1;	0;	80%;	70%;	1;	1;	0;	0;	83%;	70%;	1;	1;	0;	0;	80%;	70%;	70%;	68%;	51%;	58%;	24%;	45%;	NaN%;	NaN%;	
40000;	10;	5997;	14000;	20000;	0;	100%;	3;	0;	2;	1;	91%;	70%;	1;	1;	0;	0;	90%;	70%;	1;	0;	1;	0;	93%;	70%;	72%;	68%;	51%;	58%;	25%;	45%;	NaN%;	NaN%;	
45000;	10;	6747;	15750;	22500;	0;	100%;	3;	1;	1;	1;	84%;	70%;	2;	1;	1;	0;	82%;	70%;	0;	0;	0;	0;	95%;	70%;	60%;	68%;	43%;	58%;	20%;	46%;	NaN%;	NaN%;	
50000;	10;	7497;	17500;	25000;	0;	100%;	1;	1;	0;	0;	84%;	70%;	1;	1;	0;	0;	81%;	70%;	1;	0;	1;	0;	87%;	70%;	66%;	68%;	47%;	58%;	22%;	45%;	NaN%;	NaN%;	
5000;	11;	747;	1750;	2500;	0;	100%;	2;	1;	1;	0;	92%;	64%;	1;	1;	0;	0;	90%;	64%;	1;	1;	0;	0;	84%;	64%;	70%;	62%;	48%;	55%;	23%;	44%;	NaN%;	NaN%;	
10000;	11;	1497;	3500;	5000;	0;	100%;	2;	2;	0;	0;	88%;	64%;	1;	1;	0;	0;	82%;	64%;	1;	0;	1;	0;	83%;	64%;	62%;	62%;	42%;	55%;	19%;	43%;	NaN%;	NaN%;	
15000;	11;	2247;	5250;	7500;	0;	99%;	1;	0;	1;	0;	91%;	64%;	1;	1;	0;	0;	84%;	64%;	2;	1;	0;	1;	79%;	64%;	65%;	62%;	46%;	54%;	22%;	44%;	NaN%;	NaN%;	
20000;	11;	2997;	7000;	10000;	0;	100%;	2;	1;	1;	0;	88%;	64%;	2;	1;	1;	0;	83%;	64%;	2;	1;	0;	1;	84%;	64%;	68%;	62%;	49%;	55%;	23%;	44%;	NaN%;	NaN%;	
25000;	11;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	88%;	64%;	1;	1;	0;	0;	84%;	64%;	1;	0;	1;	0;	91%;	64%;	66%;	62%;	46%;	55%;	21%;	44%;	NaN%;	NaN%;	
30000;	11;	4497;	10500;	15000;	0;	99%;	1;	0;	1;	0;	93%;	64%;	1;	1;	0;	0;	80%;	64%;	2;	1;	1;	0;	85%;	55%;	69%;	62%;	49%;	55%;	23%;	44%;	NaN%;	NaN%;	
35000;	11;	5247;	12250;	17500;	0;	100%;	1;	1;	0;	0;	88%;	64%;	1;	1;	0;	0;	86%;	64%;	1;	1;	0;	0;	85%;	64%;	71%;	63%;	50%;	55%;	23%;	43%;	NaN%;	NaN%;	
40000;	11;	5997;	14000;	20000;	0;	99%;	1;	1;	0;	0;	81%;	64%;	1;	1;	0;	0;	81%;	64%;	1;	1;	0;	0;	79%;	64%;	62%;	62%;	44%;	54%;	20%;	43%;	NaN%;	NaN%;	
45000;	11;	6747;	15750;	22500;	0;	100%;	2;	1;	0;	1;	90%;	64%;	1;	0;	1;	0;	90%;	64%;	1;	1;	0;	0;	81%;	64%;	68%;	62%;	48%;	55%;	22%;	43%;	NaN%;	NaN%;	
50000;	11;	7497;	17500;	25000;	0;	100%;	2;	1;	1;	0;	82%;	64%;	1;	1;	0;	0;	83%;	64%;	1;	0;	0;	1;	88%;	64%;	63%;	62%;	44%;	55%;	20%;	43%;	NaN%;	NaN%;	
5000;	12;	747;	1750;	2500;	0;	99%;	2;	1;	1;	0;	91%;	58%;	1;	1;	0;	0;	92%;	58%;	1;	1;	0;	0;	90%;	58%;	75%;	58%;	54%;	52%;	25%;	42%;	NaN%;	NaN%;	
10000;	12;	1497;	3500;	5000;	0;	99%;	1;	1;	0;	0;	90%;	58%;	1;	0;	1;	0;	90%;	58%;	1;	1;	0;	0;	76%;	58%;	67%;	57%;	46%;	52%;	21%;	42%;	NaN%;	NaN%;	
15000;	12;	2247;	5250;	7500;	0;	100%;	3;	1;	2;	0;	92%;	58%;	1;	1;	0;	0;	95%;	58%;	1;	1;	0;	0;	92%;	58%;	71%;	58%;	50%;	52%;	24%;	42%;	NaN%;	NaN%;	
20000;	12;	2997;	7000;	10000;	0;	100%;	2;	2;	0;	0;	93%;	58%;	1;	1;	0;	0;	86%;	58%;	1;	1;	0;	0;	84%;	58%;	69%;	58%;	48%;	52%;	22%;	41%;	NaN%;	NaN%;	
25000;	12;	3747;	8750;	12500;	0;	100%;	1;	1;	0;	0;	88%;	58%;	1;	1;	0;	0;	87%;	58%;	1;	1;	0;	0;	87%;	58%;	70%;	57%;	49%;	52%;	22%;	41%;	NaN%;	NaN%;	
30000;	12;	4497;	10500;	15000;	0;	100%;	1;	1;	0;	0;	96%;	58%;	2;	1;	1;	0;	87%;	58%;	1;	1;	0;	0;	92%;	58%;	69%;	58%;	49%;	52%;	22%;	42%;	NaN%;	NaN%;	
35000;	12;	5247;	12250;	17500;	0;	99%;	2;	1;	1;	0;	87%;	58%;	1;	0;	1;	0;	89%;	58%;	1;	1;	0;	0;	81%;	58%;	68%;	57%;	48%;	51%;	22%;	42%;	NaN%;	NaN%;	
40000;	12;	5997;	14000;	20000;	0;	99%;	1;	1;	0;	0;	94%;	58%;	2;	1;	1;	0;	85%;	58%;	1;	1;	0;	0;	88%;	58%;	68%;	57%;	48%;	51%;	22%;	42%;	NaN%;	NaN%;	
45000;	12;	6747;	15750;	22500;	0;	100%;	1;	1;	0;	0;	89%;	58%;	1;	1;	0;	0;	88%;	58%;	1;	1;	0;	0;	87%;	58%;	68%;	57%;	48%;	51%;	22%;	42%;	NaN%;	NaN%;	
50000;	12;	7497;	17500;	25000;	0;	100%;	2;	1;	0;	1;	88%;	58%;	1;	1;	0;	0;	90%;	58%;	1;	1;	0;	0;	89%;	58%;	72%;	57%;	51%;	51%;	23%;	42%;	NaN%;	NaN%;	
5000;	13;	747;	1750;	2500;	0;	100%;	3;	0;	2;	1;	90%;	54%;	1;	1;	0;	0;	80%;	54%;	2;	2;	0;	0;	92%;	38%;	67%;	53%;	46%;	48%;	20%;	40%;	NaN%;	NaN%;	
10000;	13;	1497;	3500;	5000;	0;	100%;	2;	2;	0;	0;	87%;	54%;	1;	1;	0;	0;	89%;	54%;	1;	1;	0;	0;	86%;	54%;	70%;	53%;	50%;	48%;	23%;	40%;	NaN%;	NaN%;	
15000;	13;	2247;	5250;	7500;	0;	99%;	1;	1;	0;	0;	81%;	54%;	1;	0;	0;	1;	91%;	54%;	1;	0;	1;	0;	87%;	54%;	66%;	53%;	47%;	48%;	21%;	40%;	NaN%;	NaN%;	
20000;	13;	2997;	7000;	10000;	0;	100%;	1;	1;	0;	0;	88%;	54%;	1;	1;	0;	0;	87%;	54%;	1;	1;	0;	0;	84%;	54%;	71%;	53%;	50%;	48%;	22%;	40%;	NaN%;	NaN%;	
25000;	13;	3747;	8750;	12500;	0;	100%;	2;	2;	0;	0;	79%;	46%;	1;	1;	0;	0;	81%;	54%;	1;	0;	1;	0;	87%;	54%;	65%;	53%;	45%;	49%;	20%;	40%;	NaN%;	NaN%;	
30000;	13;	4497;	10500;	15000;	0;	99%;	1;	1;	0;	0;	86%;	54%;	1;	1;	0;	0;	79%;	54%;	1;	1;	0;	0;	77%;	54%;	60%;	53%;	42%;	48%;	18%;	40%;	NaN%;	NaN%;	
35000;	13;	5247;	12250;	17500;	0;	98%;	1;	1;	0;	0;	85%;	54%;	1;	0;	1;	0;	89%;	54%;	1;	1;	0;	0;	78%;	54%;	66%;	53%;	47%;	48%;	21%;	40%;	NaN%;	NaN%;	
