Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	3;	747;	1750;	2492;	8;	100%;	1;	1;	0;	0;	60%;	100%;	0;	0;	0;	0;	91%;	100%;	0;	0;	0;	0;	91%;	100%;	56%;	92%;	39%;	75%;	15%;	60%;	0%;	58%;	
10000;	3;	1497;	3500;	4976;	24;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	99%;	67%;	1;	0;	0;	1;	89%;	100%;	65%;	94%;	45%;	77%;	18%;	60%;	0%;	42%;	
15000;	3;	2247;	5250;	7475;	25;	100%;	2;	1;	1;	0;	95%;	100%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	87%;	100%;	72%;	95%;	53%;	76%;	24%;	59%;	0%;	55%;	
20000;	3;	2997;	7000;	9947;	53;	99%;	1;	1;	0;	0;	80%;	100%;	1;	0;	1;	0;	96%;	100%;	1;	1;	0;	0;	78%;	100%;	64%;	92%;	46%;	76%;	18%;	60%;	0%;	53%;	
25000;	3;	3747;	8750;	12440;	60;	100%;	1;	0;	0;	1;	92%;	100%;	1;	1;	0;	0;	62%;	100%;	1;	1;	0;	0;	62%;	100%;	58%;	93%;	41%;	76%;	17%;	60%;	0%;	61%;	
30000;	3;	4497;	10500;	14954;	46;	100%;	1;	1;	0;	0;	81%;	100%;	1;	1;	0;	0;	76%;	100%;	1;	1;	0;	0;	72%;	100%;	65%;	94%;	48%;	76%;	21%;	60%;	0%;	55%;	
35000;	3;	5247;	12250;	17399;	101;	99%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	73%;	100%;	0;	0;	0;	0;	96%;	100%;	54%;	91%;	36%;	75%;	13%;	61%;	0%;	55%;	
40000;	3;	5997;	14000;	19883;	117;	100%;	1;	1;	0;	0;	66%;	100%;	0;	0;	0;	0;	93%;	100%;	0;	0;	0;	0;	92%;	100%;	55%;	92%;	37%;	75%;	14%;	60%;	0%;	53%;	
45000;	3;	6747;	15750;	22421;	79;	100%;	1;	1;	0;	0;	89%;	100%;	1;	0;	1;	0;	90%;	100%;	1;	0;	1;	0;	86%;	100%;	73%;	95%;	55%;	75%;	25%;	60%;	0%;	55%;	
50000;	3;	7497;	17500;	24920;	80;	100%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	87%;	100%;	74%;	96%;	56%;	75%;	26%;	59%;	0%;	58%;	
