Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	4;	747;	1750;	2495;	5;	99%;	1;	1;	0;	0;	79%;	100%;	1;	0;	1;	0;	88%;	100%;	1;	1;	0;	0;	96%;	75%;	67%;	93%;	48%;	73%;	22%;	54%;	0%;	60%;	
10000;	4;	1497;	3500;	4979;	21;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	94%;	75%;	0;	0;	0;	0;	94%;	100%;	62%;	92%;	44%;	73%;	20%;	55%;	0%;	60%;	
15000;	4;	2247;	5250;	7478;	22;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	86%;	100%;	1;	1;	0;	0;	81%;	100%;	71%;	93%;	52%;	72%;	26%;	55%;	0%;	55%;	
20000;	4;	2997;	7000;	9974;	26;	100%;	2;	2;	0;	0;	89%;	100%;	1;	1;	0;	0;	80%;	100%;	0;	0;	0;	0;	93%;	100%;	65%;	92%;	46%;	73%;	21%;	54%;	0%;	43%;	
25000;	4;	3747;	8750;	12442;	58;	99%;	2;	0;	1;	1;	94%;	100%;	1;	1;	0;	0;	73%;	100%;	1;	0;	0;	1;	86%;	100%;	65%;	92%;	47%;	72%;	21%;	55%;	0%;	48%;	
30000;	4;	4497;	10500;	14957;	43;	100%;	1;	1;	0;	0;	81%;	100%;	1;	0;	1;	0;	84%;	100%;	1;	0;	1;	0;	82%;	100%;	63%;	91%;	46%;	72%;	22%;	56%;	0%;	59%;	
35000;	4;	5247;	12250;	17462;	38;	100%;	1;	1;	0;	0;	84%;	100%;	1;	1;	0;	0;	83%;	100%;	1;	1;	0;	0;	81%;	100%;	63%;	92%;	45%;	73%;	21%;	55%;	0%;	53%;	
40000;	4;	5997;	14000;	19940;	60;	100%;	1;	0;	1;	0;	94%;	100%;	1;	1;	0;	0;	81%;	100%;	1;	1;	0;	0;	81%;	100%;	67%;	92%;	49%;	73%;	24%;	55%;	0%;	53%;	
45000;	4;	6747;	15750;	22438;	62;	100%;	1;	1;	0;	0;	92%;	100%;	1;	1;	0;	0;	92%;	100%;	1;	1;	0;	0;	85%;	100%;	68%;	92%;	49%;	73%;	23%;	55%;	0%;	50%;	
50000;	4;	7497;	17500;	24946;	54;	100%;	1;	1;	0;	0;	88%;	100%;	1;	0;	1;	0;	90%;	100%;	1;	0;	1;	0;	85%;	100%;	67%;	92%;	49%;	72%;	23%;	55%;	0%;	61%;	
5000;	5;	747;	1750;	2496;	4;	98%;	1;	1;	0;	0;	81%;	100%;	1;	1;	0;	0;	79%;	100%;	1;	0;	0;	1;	93%;	100%;	67%;	90%;	49%;	71%;	24%;	52%;	0%;	45%;	
10000;	5;	1497;	3500;	4985;	15;	100%;	1;	1;	0;	0;	86%;	100%;	0;	0;	0;	0;	95%;	100%;	1;	1;	0;	0;	92%;	80%;	69%;	91%;	51%;	70%;	24%;	53%;	0%;	63%;	
15000;	5;	2247;	5250;	7479;	21;	100%;	2;	1;	1;	0;	93%;	100%;	1;	1;	0;	0;	88%;	100%;	1;	0;	1;	0;	90%;	100%;	65%;	90%;	47%;	71%;	22%;	53%;	0%;	34%;	
20000;	5;	2997;	7000;	9963;	37;	97%;	0;	0;	0;	0;	87%;	100%;	0;	0;	0;	0;	86%;	100%;	0;	0;	0;	0;	83%;	100%;	54%;	89%;	38%;	70%;	17%;	53%;	0%;	56%;	
25000;	5;	3747;	8750;	12468;	32;	100%;	1;	1;	0;	0;	74%;	100%;	0;	0;	0;	0;	93%;	100%;	0;	0;	0;	0;	89%;	100%;	62%;	90%;	46%;	70%;	22%;	53%;	0%;	46%;	
30000;	5;	4497;	10500;	14971;	29;	100%;	2;	1;	1;	0;	82%;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	74%;	100%;	67%;	91%;	50%;	70%;	24%;	53%;	0%;	46%;	
35000;	5;	5247;	12250;	17447;	53;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	88%;	100%;	1;	0;	1;	0;	89%;	100%;	60%;	90%;	42%;	71%;	18%;	53%;	0%;	43%;	
40000;	5;	5997;	14000;	19965;	35;	100%;	2;	1;	0;	1;	84%;	100%;	1;	0;	1;	0;	83%;	100%;	0;	0;	0;	0;	93%;	100%;	65%;	90%;	48%;	70%;	23%;	53%;	0%;	51%;	
45000;	5;	6747;	15750;	22457;	43;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	97%;	80%;	0;	0;	0;	0;	94%;	100%;	67%;	91%;	49%;	70%;	22%;	52%;	0%;	53%;	
50000;	5;	7497;	17500;	24936;	64;	99%;	1;	1;	0;	0;	89%;	100%;	1;	0;	1;	0;	90%;	100%;	1;	1;	0;	0;	80%;	100%;	64%;	90%;	47%;	70%;	21%;	53%;	0%;	46%;	
5000;	6;	747;	1750;	2496;	4;	100%;	2;	0;	2;	0;	86%;	100%;	1;	1;	0;	0;	86%;	100%;	2;	1;	1;	0;	91%;	83%;	70%;	90%;	53%;	68%;	25%;	51%;	0%;	38%;	
10000;	6;	1497;	3500;	4986;	14;	99%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	70%;	100%;	1;	0;	0;	1;	82%;	100%;	60%;	89%;	44%;	69%;	20%;	52%;	0%;	56%;	
15000;	6;	2247;	5250;	7484;	16;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	82%;	100%;	0;	0;	0;	0;	89%;	100%;	65%;	89%;	49%;	68%;	23%;	51%;	0%;	47%;	
20000;	6;	2997;	7000;	9990;	10;	100%;	2;	1;	0;	1;	96%;	100%;	1;	0;	1;	0;	93%;	100%;	0;	0;	0;	0;	93%;	100%;	69%;	90%;	52%;	69%;	24%;	51%;	0%;	38%;	
25000;	6;	3747;	8750;	12469;	31;	100%;	2;	1;	0;	1;	74%;	100%;	1;	1;	0;	0;	76%;	100%;	0;	0;	0;	0;	90%;	100%;	62%;	89%;	46%;	69%;	20%;	52%;	0%;	40%;	
30000;	6;	4497;	10500;	14981;	19;	100%;	2;	2;	0;	0;	88%;	100%;	2;	1;	1;	0;	95%;	83%;	1;	0;	0;	1;	86%;	100%;	64%;	89%;	49%;	68%;	23%;	52%;	0%;	44%;	
35000;	6;	5247;	12250;	17476;	24;	100%;	1;	0;	1;	0;	88%;	100%;	1;	1;	0;	0;	77%;	100%;	1;	1;	0;	0;	71%;	100%;	60%;	88%;	45%;	68%;	21%;	52%;	0%;	54%;	
40000;	6;	5997;	14000;	19966;	34;	100%;	1;	0;	1;	0;	87%;	100%;	1;	1;	0;	0;	77%;	100%;	0;	0;	0;	0;	93%;	100%;	67%;	89%;	50%;	68%;	24%;	51%;	0%;	44%;	
45000;	6;	6747;	15750;	22462;	38;	100%;	1;	1;	0;	0;	75%;	100%;	0;	0;	0;	0;	91%;	100%;	0;	0;	0;	0;	90%;	100%;	64%;	89%;	47%;	69%;	21%;	51%;	0%;	38%;	
50000;	6;	7497;	17500;	24947;	53;	100%;	2;	2;	0;	0;	88%;	83%;	2;	0;	1;	1;	96%;	83%;	0;	0;	0;	0;	90%;	100%;	64%;	89%;	48%;	68%;	23%;	52%;	0%;	50%;	
5000;	7;	747;	1750;	2498;	2;	100%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	86%;	100%;	2;	1;	0;	1;	92%;	86%;	69%;	88%;	53%;	67%;	25%;	50%;	0%;	21%;	
10000;	7;	1497;	3500;	4997;	3;	99%;	1;	1;	0;	0;	80%;	100%;	1;	1;	0;	0;	89%;	86%;	0;	0;	0;	0;	86%;	100%;	61%;	87%;	45%;	67%;	21%;	50%;	0%;	38%;	
15000;	7;	2247;	5250;	7488;	12;	99%;	1;	1;	0;	0;	89%;	100%;	0;	0;	0;	0;	86%;	100%;	1;	0;	1;	0;	78%;	100%;	61%;	88%;	47%;	66%;	22%;	50%;	0%;	44%;	
20000;	7;	2997;	7000;	9992;	8;	99%;	1;	1;	0;	0;	85%;	100%;	1;	0;	1;	0;	86%;	100%;	0;	0;	0;	0;	89%;	100%;	63%;	88%;	47%;	68%;	22%;	50%;	0%;	37%;	
25000;	7;	3747;	8750;	12486;	14;	100%;	1;	1;	0;	0;	87%;	100%;	1;	0;	0;	1;	94%;	100%;	1;	1;	0;	0;	80%;	100%;	68%;	88%;	51%;	67%;	24%;	51%;	0%;	50%;	
30000;	7;	4497;	10500;	14983;	17;	97%;	0;	0;	0;	0;	92%;	100%;	0;	0;	0;	0;	90%;	100%;	0;	0;	0;	0;	89%;	100%;	66%;	88%;	50%;	67%;	24%;	50%;	0%;	68%;	
35000;	7;	5247;	12250;	17463;	37;	100%;	0;	0;	0;	0;	88%;	100%;	2;	0;	2;	0;	73%;	100%;	0;	0;	0;	0;	81%;	100%;	58%;	88%;	43%;	67%;	19%;	50%;	0%;	47%;	
40000;	7;	5997;	14000;	19967;	33;	100%;	2;	2;	0;	0;	73%;	100%;	1;	0;	0;	1;	89%;	100%;	1;	1;	0;	0;	77%;	100%;	63%;	88%;	46%;	68%;	21%;	50%;	0%;	44%;	
45000;	7;	6747;	15750;	22458;	42;	100%;	1;	1;	0;	0;	84%;	100%;	1;	1;	0;	0;	92%;	86%;	0;	0;	0;	0;	87%;	100%;	59%;	88%;	42%;	68%;	19%;	50%;	0%;	45%;	
50000;	7;	7497;	17500;	24958;	42;	100%;	1;	1;	0;	0;	82%;	100%;	0;	0;	0;	0;	90%;	100%;	1;	0;	1;	0;	81%;	100%;	63%;	88%;	46%;	68%;	22%;	50%;	0%;	39%;	
5000;	8;	747;	1750;	2495;	5;	100%;	2;	2;	0;	0;	75%;	88%;	1;	1;	0;	0;	78%;	88%;	1;	0;	1;	0;	85%;	88%;	66%;	81%;	49%;	65%;	23%;	49%;	0%;	33%;	
10000;	8;	1497;	3500;	4992;	8;	100%;	1;	0;	1;	0;	95%;	88%;	2;	0;	1;	1;	91%;	88%;	1;	0;	1;	0;	93%;	88%;	69%;	83%;	51%;	65%;	25%;	48%;	0%;	61%;	
15000;	8;	2247;	5250;	7493;	7;	100%;	1;	1;	0;	0;	88%;	88%;	1;	1;	0;	0;	84%;	88%;	2;	1;	1;	0;	74%;	88%;	64%;	82%;	46%;	66%;	22%;	48%;	0%;	50%;	
20000;	8;	2997;	7000;	9985;	15;	100%;	1;	1;	0;	0;	96%;	88%;	1;	0;	0;	1;	95%;	88%;	1;	0;	1;	0;	91%;	88%;	74%;	82%;	55%;	65%;	27%;	49%;	0%;	47%;	
25000;	8;	3747;	8750;	12489;	11;	100%;	1;	1;	0;	0;	81%;	88%;	1;	1;	0;	0;	76%;	88%;	0;	0;	0;	0;	90%;	88%;	65%;	82%;	49%;	65%;	24%;	49%;	0%;	55%;	
30000;	8;	4497;	10500;	14981;	19;	100%;	1;	0;	1;	0;	91%;	88%;	1;	1;	0;	0;	82%;	88%;	1;	1;	0;	0;	82%;	88%;	64%;	82%;	47%;	65%;	22%;	48%;	0%;	53%;	
35000;	8;	5247;	12250;	17461;	39;	99%;	1;	0;	0;	1;	89%;	88%;	1;	1;	0;	0;	77%;	88%;	1;	0;	1;	0;	82%;	88%;	59%;	81%;	43%;	65%;	20%;	49%;	0%;	37%;	
40000;	8;	5997;	14000;	19967;	33;	100%;	2;	2;	0;	0;	78%;	88%;	1;	1;	0;	0;	95%;	75%;	1;	1;	0;	0;	80%;	88%;	62%;	82%;	45%;	65%;	21%;	49%;	0%;	48%;	
45000;	8;	6747;	15750;	22468;	32;	99%;	1;	1;	0;	0;	86%;	88%;	1;	1;	0;	0;	85%;	88%;	1;	1;	0;	0;	79%;	88%;	65%;	82%;	48%;	65%;	23%;	49%;	0%;	43%;	
50000;	8;	7497;	17500;	24965;	35;	100%;	1;	1;	0;	0;	88%;	88%;	1;	1;	0;	0;	84%;	88%;	1;	0;	1;	0;	87%;	88%;	65%;	82%;	49%;	65%;	23%;	49%;	0%;	45%;	
5000;	9;	747;	1750;	2494;	6;	99%;	2;	1;	0;	1;	86%;	78%;	1;	1;	0;	0;	77%;	78%;	1;	1;	0;	0;	89%;	67%;	63%;	75%;	45%;	62%;	21%;	47%;	0%;	35%;	
10000;	9;	1497;	3500;	4993;	7;	100%;	2;	2;	0;	0;	88%;	78%;	2;	0;	1;	1;	90%;	78%;	1;	1;	0;	0;	85%;	78%;	71%;	74%;	52%;	61%;	26%;	47%;	0%;	51%;	
15000;	9;	2247;	5250;	7495;	5;	100%;	4;	2;	1;	1;	86%;	78%;	1;	1;	0;	0;	90%;	78%;	1;	1;	0;	0;	85%;	78%;	68%;	75%;	49%;	62%;	24%;	47%;	0%;	64%;	
20000;	9;	2997;	7000;	9990;	10;	100%;	2;	1;	0;	1;	84%;	78%;	1;	0;	1;	0;	94%;	78%;	1;	1;	0;	0;	81%;	78%;	67%;	75%;	48%;	62%;	23%;	47%;	0%;	63%;	
25000;	9;	3747;	8750;	12480;	20;	100%;	2;	0;	2;	0;	82%;	78%;	1;	0;	1;	0;	88%;	78%;	1;	1;	0;	0;	81%;	78%;	67%;	75%;	49%;	62%;	23%;	47%;	0%;	44%;	
30000;	9;	4497;	10500;	14976;	24;	100%;	1;	1;	0;	0;	89%;	78%;	2;	1;	1;	0;	80%;	78%;	1;	1;	0;	0;	80%;	78%;	65%;	75%;	47%;	62%;	23%;	47%;	0%;	44%;	
35000;	9;	5247;	12250;	17478;	22;	100%;	1;	1;	0;	0;	84%;	78%;	1;	1;	0;	0;	83%;	78%;	1;	1;	0;	0;	81%;	78%;	67%;	75%;	48%;	62%;	23%;	47%;	0%;	36%;	
40000;	9;	5997;	14000;	19976;	24;	100%;	1;	1;	0;	0;	83%;	78%;	0;	0;	0;	0;	94%;	78%;	0;	0;	0;	0;	93%;	78%;	69%;	75%;	49%;	62%;	23%;	46%;	0%;	51%;	
45000;	9;	6747;	15750;	22467;	33;	99%;	2;	1;	0;	1;	85%;	78%;	1;	0;	0;	1;	89%;	78%;	1;	1;	0;	0;	76%;	78%;	63%;	75%;	45%;	62%;	22%;	47%;	0%;	44%;	
50000;	9;	7497;	17500;	24960;	40;	100%;	1;	1;	0;	0;	89%;	78%;	1;	1;	0;	0;	84%;	78%;	0;	0;	0;	0;	93%;	78%;	64%;	75%;	47%;	62%;	22%;	47%;	0%;	44%;	
5000;	10;	747;	1750;	2497;	3;	98%;	2;	1;	0;	1;	83%;	70%;	1;	1;	0;	0;	83%;	70%;	1;	1;	0;	0;	79%;	70%;	67%;	68%;	48%;	58%;	23%;	45%;	0%;	27%;	
10000;	10;	1497;	3500;	4994;	6;	100%;	1;	1;	0;	0;	83%;	70%;	2;	1;	1;	0;	75%;	70%;	1;	1;	0;	0;	81%;	70%;	60%;	68%;	43%;	58%;	20%;	46%;	0%;	40%;	
15000;	10;	2247;	5250;	7491;	9;	100%;	2;	1;	1;	0;	82%;	70%;	1;	1;	0;	0;	89%;	70%;	2;	1;	1;	0;	77%;	70%;	70%;	68%;	50%;	58%;	24%;	46%;	0%;	39%;	
20000;	10;	2997;	7000;	9992;	8;	100%;	2;	1;	1;	0;	92%;	70%;	1;	1;	0;	0;	83%;	70%;	1;	1;	0;	0;	83%;	70%;	65%;	68%;	47%;	58%;	22%;	45%;	0%;	50%;	
25000;	10;	3747;	8750;	12484;	16;	100%;	1;	1;	0;	0;	85%;	70%;	1;	1;	0;	0;	82%;	70%;	1;	1;	0;	0;	81%;	70%;	63%;	68%;	45%;	58%;	21%;	46%;	0%;	48%;	
30000;	10;	4497;	10500;	14986;	14;	99%;	1;	1;	0;	0;	92%;	70%;	2;	2;	0;	0;	87%;	60%;	1;	1;	0;	0;	88%;	70%;	71%;	68%;	52%;	58%;	25%;	45%;	0%;	39%;	
35000;	10;	5247;	12250;	17493;	7;	100%;	1;	1;	0;	0;	91%;	70%;	1;	1;	0;	0;	85%;	70%;	1;	1;	0;	0;	82%;	70%;	68%;	68%;	49%;	58%;	23%;	46%;	0%;	36%;	
40000;	10;	5997;	14000;	19977;	23;	100%;	2;	1;	0;	1;	78%;	70%;	1;	1;	0;	0;	81%;	70%;	1;	1;	0;	0;	79%;	70%;	64%;	68%;	45%;	59%;	21%;	45%;	0%;	49%;	
45000;	10;	6747;	15750;	22477;	23;	100%;	3;	3;	0;	0;	88%;	70%;	1;	1;	0;	0;	84%;	70%;	1;	0;	0;	1;	89%;	70%;	64%;	68%;	45%;	59%;	21%;	45%;	0%;	44%;	
50000;	10;	7497;	17500;	24966;	34;	100%;	1;	1;	0;	0;	86%;	70%;	1;	1;	0;	0;	81%;	70%;	1;	0;	1;	0;	87%;	70%;	64%;	68%;	46%;	58%;	22%;	45%;	0%;	42%;	
5000;	11;	747;	1750;	2496;	4;	98%;	1;	1;	0;	0;	80%;	64%;	1;	0;	1;	0;	86%;	64%;	1;	1;	0;	0;	79%;	64%;	70%;	62%;	49%;	55%;	23%;	43%;	0%;	30%;	
10000;	11;	1497;	3500;	4995;	5;	98%;	2;	1;	0;	1;	86%;	64%;	2;	1;	1;	0;	79%;	64%;	1;	1;	0;	0;	84%;	64%;	66%;	62%;	47%;	54%;	21%;	44%;	0%;	49%;	
15000;	11;	2247;	5250;	7496;	4;	100%;	1;	1;	0;	0;	86%;	64%;	2;	0;	2;	0;	84%;	64%;	1;	1;	0;	0;	82%;	64%;	68%;	62%;	48%;	55%;	21%;	44%;	0%;	43%;	
20000;	11;	2997;	7000;	9988;	12;	100%;	1;	1;	0;	0;	89%;	64%;	1;	1;	0;	0;	88%;	64%;	1;	1;	0;	0;	86%;	64%;	66%;	62%;	46%;	55%;	21%;	44%;	0%;	39%;	
25000;	11;	3747;	8750;	12486;	14;	100%;	1;	0;	1;	0;	94%;	64%;	2;	0;	1;	1;	89%;	64%;	1;	0;	1;	0;	92%;	64%;	69%;	62%;	49%;	55%;	22%;	44%;	0%;	52%;	
30000;	11;	4497;	10500;	14979;	21;	100%;	2;	1;	1;	0;	79%;	64%;	1;	0;	1;	0;	90%;	64%;	2;	1;	0;	1;	78%;	64%;	65%;	62%;	46%;	55%;	21%;	43%;	0%;	39%;	
35000;	11;	5247;	12250;	17484;	16;	100%;	2;	1;	1;	0;	90%;	64%;	1;	1;	0;	0;	87%;	64%;	1;	1;	0;	0;	86%;	64%;	66%;	62%;	47%;	55%;	22%;	44%;	0%;	36%;	
40000;	11;	5997;	14000;	19976;	24;	100%;	2;	2;	0;	0;	86%;	64%;	2;	2;	0;	0;	83%;	64%;	1;	1;	0;	0;	89%;	64%;	65%;	62%;	46%;	55%;	21%;	44%;	0%;	41%;	
45000;	11;	6747;	15750;	22472;	28;	100%;	2;	1;	1;	0;	86%;	64%;	1;	1;	0;	0;	83%;	64%;	1;	1;	0;	0;	79%;	64%;	65%;	62%;	46%;	55%;	21%;	43%;	0%;	47%;	
50000;	11;	7497;	17500;	24966;	34;	100%;	2;	2;	0;	0;	85%;	55%;	2;	1;	1;	0;	78%;	64%;	1;	1;	0;	0;	85%;	64%;	70%;	63%;	50%;	55%;	24%;	43%;	0%;	41%;	
5000;	12;	747;	1750;	2497;	3;	100%;	2;	2;	0;	0;	80%;	58%;	2;	1;	0;	1;	86%;	58%;	1;	1;	0;	0;	89%;	58%;	67%;	57%;	47%;	52%;	21%;	42%;	0%;	53%;	
10000;	12;	1497;	3500;	4997;	3;	99%;	1;	1;	0;	0;	94%;	58%;	2;	1;	1;	0;	86%;	58%;	1;	1;	0;	0;	92%;	58%;	72%;	57%;	51%;	51%;	23%;	42%;	0%;	33%;	
15000;	12;	2247;	5250;	7490;	10;	100%;	1;	1;	0;	0;	90%;	58%;	1;	1;	0;	0;	88%;	58%;	1;	1;	0;	0;	88%;	58%;	73%;	57%;	51%;	51%;	23%;	42%;	0%;	41%;	
20000;	12;	2997;	7000;	9985;	15;	100%;	2;	2;	0;	0;	95%;	58%;	2;	0;	0;	2;	93%;	58%;	1;	1;	0;	0;	78%;	58%;	66%;	57%;	46%;	52%;	21%;	42%;	0%;	47%;	
25000;	12;	3747;	8750;	12493;	7;	100%;	2;	2;	0;	0;	80%;	58%;	2;	2;	0;	0;	78%;	58%;	1;	1;	0;	0;	90%;	58%;	70%;	57%;	49%;	52%;	22%;	42%;	0%;	40%;	
