Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
40000;	8;	5997;	14000;	0;	24648;	100%;	2;	1;	0;	1;	83%;	88%;	1;	1;	0;	0;	85%;	88%;	1;	1;	0;	0;	83%;	88%;	66%;	82%;	48%;	65%;	NaN%;	NaN%;	27%;	51%;	
45000;	8;	6747;	15750;	0;	27205;	99%;	1;	1;	0;	0;	88%;	88%;	1;	0;	0;	1;	92%;	88%;	0;	0;	0;	0;	93%;	88%;	68%;	82%;	50%;	65%;	NaN%;	NaN%;	27%;	50%;	
50000;	8;	7497;	17500;	0;	30165;	100%;	1;	1;	0;	0;	80%;	88%;	0;	0;	0;	0;	92%;	88%;	1;	1;	0;	0;	78%;	88%;	68%;	82%;	50%;	65%;	NaN%;	NaN%;	27%;	50%;	
5000;	9;	747;	1750;	0;	2888;	96%;	1;	0;	1;	0;	92%;	78%;	1;	1;	0;	0;	83%;	78%;	1;	0;	1;	0;	84%;	78%;	68%;	75%;	49%;	62%;	NaN%;	NaN%;	26%;	48%;	
10000;	9;	1497;	3500;	0;	5549;	99%;	2;	1;	1;	0;	93%;	78%;	2;	1;	1;	0;	95%;	67%;	1;	1;	0;	0;	85%;	78%;	71%;	75%;	51%;	62%;	NaN%;	NaN%;	27%;	47%;	
15000;	9;	2247;	5250;	0;	8465;	99%;	2;	1;	0;	1;	90%;	78%;	1;	1;	0;	0;	87%;	78%;	1;	1;	0;	0;	86%;	78%;	69%;	74%;	50%;	62%;	NaN%;	NaN%;	26%;	48%;	
20000;	9;	2997;	7000;	0;	12574;	100%;	1;	0;	1;	0;	82%;	78%;	0;	0;	0;	0;	89%;	78%;	1;	0;	0;	1;	84%;	78%;	60%;	75%;	43%;	62%;	NaN%;	NaN%;	24%;	49%;	
25000;	9;	3747;	8750;	0;	14593;	100%;	1;	1;	0;	0;	87%;	78%;	1;	1;	0;	0;	87%;	78%;	1;	1;	0;	0;	86%;	78%;	68%;	75%;	48%;	62%;	NaN%;	NaN%;	25%;	48%;	
30000;	9;	4497;	10500;	0;	16936;	100%;	1;	1;	0;	0;	88%;	78%;	1;	1;	0;	0;	84%;	78%;	1;	0;	1;	0;	89%;	78%;	69%;	75%;	50%;	62%;	NaN%;	NaN%;	26%;	48%;	
35000;	9;	5247;	12250;	0;	21076;	99%;	1;	1;	0;	0;	87%;	78%;	1;	1;	0;	0;	83%;	78%;	1;	1;	0;	0;	80%;	78%;	63%;	74%;	46%;	62%;	NaN%;	NaN%;	25%;	49%;	
40000;	9;	5997;	14000;	0;	23471;	100%;	1;	1;	0;	0;	79%;	78%;	1;	0;	0;	1;	90%;	78%;	1;	0;	1;	0;	84%;	78%;	66%;	74%;	48%;	61%;	NaN%;	NaN%;	26%;	48%;	
45000;	9;	6747;	15750;	0;	24862;	100%;	2;	1;	1;	0;	91%;	78%;	1;	1;	0;	0;	89%;	78%;	1;	1;	0;	0;	87%;	78%;	71%;	75%;	51%;	62%;	NaN%;	NaN%;	27%;	48%;	
50000;	9;	7497;	17500;	0;	29966;	100%;	1;	1;	0;	0;	81%;	78%;	1;	1;	0;	0;	80%;	78%;	1;	1;	0;	0;	78%;	78%;	65%;	75%;	46%;	62%;	NaN%;	NaN%;	25%;	48%;	
5000;	10;	747;	1750;	0;	2615;	100%;	3;	1;	0;	2;	89%;	70%;	1;	1;	0;	0;	94%;	70%;	1;	1;	0;	0;	92%;	70%;	73%;	68%;	53%;	58%;	NaN%;	NaN%;	26%;	45%;	
10000;	10;	1497;	3500;	0;	5481;	100%;	1;	1;	0;	0;	91%;	70%;	2;	1;	0;	1;	87%;	70%;	1;	1;	0;	0;	84%;	70%;	68%;	68%;	49%;	58%;	NaN%;	NaN%;	25%;	46%;	
15000;	10;	2247;	5250;	0;	7988;	100%;	2;	1;	1;	0;	91%;	70%;	1;	1;	0;	0;	91%;	70%;	2;	1;	1;	0;	84%;	70%;	73%;	68%;	51%;	59%;	NaN%;	NaN%;	25%;	45%;	
20000;	10;	2997;	7000;	0;	10578;	100%;	1;	1;	0;	0;	87%;	70%;	1;	1;	0;	0;	86%;	70%;	1;	1;	0;	0;	85%;	70%;	71%;	68%;	51%;	58%;	NaN%;	NaN%;	25%;	46%;	
25000;	10;	3747;	8750;	0;	14543;	100%;	1;	1;	0;	0;	86%;	70%;	1;	1;	0;	0;	84%;	70%;	1;	1;	0;	0;	81%;	70%;	65%;	68%;	46%;	58%;	NaN%;	NaN%;	24%;	46%;	
30000;	10;	4497;	10500;	0;	16211;	100%;	1;	1;	0;	0;	85%;	70%;	1;	0;	1;	0;	91%;	70%;	1;	1;	0;	0;	83%;	70%;	70%;	68%;	50%;	58%;	NaN%;	NaN%;	25%;	46%;	
35000;	10;	5247;	12250;	0;	19154;	100%;	1;	1;	0;	0;	92%;	70%;	1;	1;	0;	0;	90%;	70%;	1;	0;	1;	0;	92%;	70%;	69%;	68%;	49%;	58%;	NaN%;	NaN%;	25%;	46%;	
40000;	10;	5997;	14000;	0;	20921;	100%;	2;	1;	1;	0;	94%;	70%;	1;	1;	0;	0;	89%;	70%;	1;	1;	0;	0;	85%;	70%;	71%;	68%;	52%;	58%;	NaN%;	NaN%;	26%;	46%;	
45000;	10;	6747;	15750;	0;	23929;	100%;	2;	1;	1;	0;	90%;	70%;	2;	0;	1;	1;	93%;	70%;	1;	1;	0;	0;	89%;	70%;	70%;	68%;	51%;	58%;	NaN%;	NaN%;	25%;	46%;	
50000;	10;	7497;	17500;	0;	28863;	99%;	1;	1;	0;	0;	79%;	70%;	0;	0;	0;	0;	94%;	70%;	1;	1;	0;	0;	79%;	70%;	64%;	68%;	46%;	58%;	NaN%;	NaN%;	24%;	46%;	
5000;	11;	747;	1750;	78;	2422;	100%;	3;	1;	1;	1;	92%;	64%;	1;	1;	0;	0;	95%;	64%;	1;	1;	0;	0;	89%;	64%;	75%;	63%;	54%;	55%;	41%;	49%;	25%;	43%;	
10000;	11;	1497;	3500;	14;	4986;	100%;	2;	2;	0;	0;	82%;	64%;	2;	1;	1;	0;	89%;	64%;	1;	1;	0;	0;	87%;	64%;	75%;	63%;	53%;	55%;	44%;	47%;	25%;	43%;	
15000;	11;	2247;	5250;	0;	7833;	100%;	2;	1;	1;	0;	88%;	64%;	2;	1;	0;	1;	91%;	64%;	2;	1;	0;	1;	85%;	64%;	69%;	62%;	49%;	55%;	NaN%;	NaN%;	24%;	44%;	
20000;	11;	2997;	7000;	0;	11604;	98%;	1;	0;	1;	0;	90%;	64%;	1;	1;	0;	0;	83%;	64%;	1;	1;	0;	0;	79%;	64%;	62%;	62%;	44%;	55%;	NaN%;	NaN%;	23%;	45%;	
25000;	11;	3747;	8750;	0;	13363;	100%;	2;	0;	2;	0;	91%;	64%;	1;	1;	0;	0;	86%;	64%;	1;	1;	0;	0;	82%;	64%;	67%;	62%;	49%;	54%;	NaN%;	NaN%;	24%;	44%;	
30000;	11;	4497;	10500;	0;	17391;	100%;	2;	1;	1;	0;	80%;	64%;	1;	1;	0;	0;	86%;	64%;	1;	1;	0;	0;	82%;	64%;	63%;	62%;	43%;	55%;	NaN%;	NaN%;	22%;	44%;	
35000;	11;	5247;	12250;	0;	18322;	100%;	2;	2;	0;	0;	87%;	64%;	1;	1;	0;	0;	92%;	64%;	1;	1;	0;	0;	90%;	64%;	71%;	63%;	49%;	55%;	NaN%;	NaN%;	24%;	44%;	
