Players;	Games;	# R1;	# R2;	# R3;	# UR;	P1 Skill;	P1 Podiums;	P1 1sts;	P1 2nds;	P1 3rds;	P1 Avg. Perf.;	P1 Participation;	P2 Podiums;	P2 1sts;	P2 2nds;	P2 3rds;	P2 Avg. Perf.;	P2 Participation;	P3 Podiums;	P3 1sts;	P3 2nds;	P3 3rds;	P3 Avg. Perf.;	P3 Participation;	R1 Avg. Perf.;	R1 Participation;	R2 Avg. Perf.;	R2 Participation;	R3 Avg. Perf.;	R3 Participation;	UR Avg. Perf.;	UR Participation;
5000;	3;	747;	1750;	1511;	989;	98%;	1;	1;	0;	0;	80%;	100%;	2;	0;	0;	2;	94%;	100%;	1;	0;	1;	0;	85%;	100%;	61%;	91%;	44%;	74%;	25%;	62%;	7%;	58%;	
10000;	3;	1497;	3500;	3467;	1533;	100%;	1;	0;	1;	0;	88%;	100%;	1;	0;	1;	0;	85%;	100%;	1;	0;	1;	0;	84%;	100%;	67%;	95%;	50%;	76%;	30%;	59%;	7%;	59%;	
15000;	3;	2247;	5250;	5271;	2229;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	82%;	100%;	1;	0;	1;	0;	91%;	100%;	71%;	95%;	52%;	76%;	31%;	58%;	7%;	58%;	
20000;	3;	2997;	7000;	6473;	3527;	99%;	1;	1;	0;	0;	84%;	100%;	1;	1;	0;	0;	81%;	100%;	1;	0;	1;	0;	95%;	100%;	62%;	93%;	45%;	76%;	27%;	61%;	7%;	58%;	
25000;	3;	3747;	8750;	7829;	4671;	100%;	1;	0;	1;	0;	86%;	100%;	1;	0;	1;	0;	80%;	100%;	0;	0;	0;	0;	95%;	100%;	66%;	94%;	47%;	76%;	27%;	61%;	7%;	55%;	
30000;	3;	4497;	10500;	9905;	5095;	100%;	1;	0;	1;	0;	94%;	100%;	1;	1;	0;	0;	74%;	100%;	0;	0;	0;	0;	94%;	100%;	63%;	94%;	46%;	76%;	27%;	60%;	7%;	58%;	
35000;	3;	5247;	12250;	10728;	6772;	99%;	1;	1;	0;	0;	92%;	100%;	1;	1;	0;	0;	81%;	100%;	1;	1;	0;	0;	71%;	100%;	63%;	93%;	44%;	76%;	25%;	62%;	7%;	56%;	
40000;	3;	5997;	14000;	12086;	7914;	100%;	1;	1;	0;	0;	93%;	100%;	1;	1;	0;	0;	76%;	100%;	1;	1;	0;	0;	76%;	100%;	62%;	92%;	44%;	76%;	25%;	63%;	7%;	56%;	
45000;	3;	6747;	15750;	15995;	6505;	100%;	1;	0;	1;	0;	95%;	100%;	1;	0;	1;	0;	87%;	100%;	1;	0;	0;	1;	91%;	100%;	71%;	93%;	53%;	75%;	31%;	61%;	7%;	59%;	
50000;	3;	7497;	17500;	13421;	11579;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	86%;	100%;	1;	0;	1;	0;	80%;	100%;	58%;	93%;	39%;	76%;	22%;	63%;	7%;	56%;	
5000;	4;	747;	1750;	1736;	764;	99%;	2;	1;	1;	0;	86%;	100%;	1;	1;	0;	0;	69%;	100%;	0;	0;	0;	0;	88%;	100%;	58%;	91%;	42%;	73%;	25%;	56%;	6%;	52%;	
10000;	4;	1497;	3500;	3750;	1250;	100%;	1;	1;	0;	0;	86%;	100%;	1;	1;	0;	0;	75%;	100%;	1;	1;	0;	0;	95%;	75%;	66%;	92%;	49%;	73%;	30%;	56%;	6%;	53%;	
15000;	4;	2247;	5250;	5284;	2216;	98%;	1;	1;	0;	0;	74%;	100%;	1;	0;	1;	0;	85%;	100%;	1;	0;	1;	0;	82%;	100%;	59%;	91%;	42%;	72%;	25%;	57%;	6%;	53%;	
20000;	4;	2997;	7000;	6991;	3009;	100%;	1;	1;	0;	0;	74%;	100%;	1;	1;	0;	0;	98%;	75%;	0;	0;	0;	0;	93%;	100%;	61%;	92%;	44%;	72%;	25%;	56%;	6%;	50%;	
25000;	4;	3747;	8750;	9540;	2960;	100%;	1;	1;	0;	0;	88%;	100%;	1;	1;	0;	0;	88%;	100%;	1;	0;	0;	1;	93%;	100%;	70%;	92%;	51%;	73%;	31%;	55%;	6%;	52%;	
30000;	4;	4497;	10500;	10321;	4679;	99%;	1;	1;	0;	0;	77%;	100%;	0;	0;	0;	0;	94%;	100%;	1;	0;	0;	1;	87%;	100%;	60%;	92%;	43%;	73%;	25%;	57%;	6%;	51%;	
35000;	4;	5247;	12250;	13352;	4148;	100%;	1;	1;	0;	0;	83%;	100%;	1;	1;	0;	0;	79%;	100%;	1;	0;	1;	0;	89%;	100%;	69%;	92%;	51%;	72%;	30%;	55%;	6%;	53%;	
40000;	4;	5997;	14000;	15203;	4797;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	82%;	100%;	1;	0;	1;	0;	91%;	100%;	69%;	92%;	52%;	72%;	30%;	56%;	6%;	53%;	
45000;	4;	6747;	15750;	17373;	5127;	100%;	2;	1;	0;	1;	97%;	100%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	92%;	100%;	71%;	92%;	52%;	73%;	32%;	55%;	6%;	53%;	
50000;	4;	7497;	17500;	16901;	8099;	100%;	1;	0;	1;	0;	85%;	100%;	1;	1;	0;	0;	92%;	75%;	0;	0;	0;	0;	93%;	100%;	61%;	91%;	44%;	72%;	25%;	57%;	6%;	51%;	
5000;	5;	747;	1750;	1969;	531;	100%;	1;	1;	0;	0;	86%;	100%;	1;	0;	0;	1;	87%;	100%;	1;	1;	0;	0;	86%;	80%;	66%;	90%;	49%;	70%;	28%;	54%;	5%;	49%;	
10000;	5;	1497;	3500;	3784;	1216;	99%;	2;	2;	0;	0;	86%;	100%;	0;	0;	0;	0;	89%;	100%;	0;	0;	0;	0;	86%;	100%;	61%;	90%;	45%;	70%;	26%;	54%;	5%;	48%;	
15000;	5;	2247;	5250;	5935;	1565;	99%;	1;	1;	0;	0;	95%;	100%;	1;	1;	0;	0;	90%;	100%;	1;	0;	1;	0;	88%;	100%;	70%;	90%;	52%;	70%;	30%;	54%;	5%;	50%;	
20000;	5;	2997;	7000;	8139;	1861;	100%;	1;	1;	0;	0;	89%;	100%;	1;	0;	1;	0;	95%;	100%;	2;	0;	1;	1;	89%;	100%;	71%;	91%;	54%;	70%;	30%;	54%;	5%;	51%;	
25000;	5;	3747;	8750;	10010;	2490;	100%;	1;	1;	0;	0;	86%;	100%;	1;	1;	0;	0;	85%;	100%;	1;	1;	0;	0;	85%;	100%;	67%;	90%;	52%;	69%;	30%;	54%;	5%;	51%;	
30000;	5;	4497;	10500;	12243;	2757;	100%;	2;	2;	0;	0;	97%;	80%;	2;	0;	1;	1;	96%;	100%;	1;	1;	0;	0;	85%;	100%;	73%;	91%;	55%;	70%;	31%;	53%;	5%;	51%;	
35000;	5;	5247;	12250;	13303;	4197;	100%;	2;	0;	2;	0;	83%;	100%;	1;	0;	1;	0;	93%;	100%;	0;	0;	0;	0;	94%;	100%;	62%;	90%;	45%;	70%;	26%;	54%;	5%;	50%;	
40000;	5;	5997;	14000;	15662;	4338;	99%;	0;	0;	0;	0;	93%;	100%;	0;	0;	0;	0;	90%;	100%;	0;	0;	0;	0;	90%;	100%;	65%;	91%;	48%;	70%;	27%;	54%;	5%;	50%;	
45000;	5;	6747;	15750;	17873;	4627;	99%;	0;	0;	0;	0;	95%;	100%;	0;	0;	0;	0;	95%;	100%;	1;	1;	0;	0;	74%;	100%;	70%;	90%;	51%;	70%;	29%;	54%;	6%;	49%;	
50000;	5;	7497;	17500;	16149;	8851;	100%;	2;	1;	0;	1;	80%;	80%;	1;	1;	0;	0;	85%;	80%;	1;	0;	1;	0;	77%;	100%;	51%;	88%;	35%;	70%;	19%;	56%;	5%;	48%;	
5000;	6;	747;	1750;	2055;	445;	100%;	2;	2;	0;	0;	90%;	100%;	1;	1;	0;	0;	88%;	100%;	2;	1;	0;	1;	83%;	100%;	66%;	88%;	52%;	67%;	28%;	52%;	5%;	50%;	
10000;	6;	1497;	3500;	3986;	1014;	99%;	2;	1;	1;	0;	86%;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	81%;	100%;	63%;	89%;	47%;	69%;	26%;	52%;	5%;	50%;	
15000;	6;	2247;	5250;	6133;	1367;	99%;	2;	1;	1;	0;	83%;	100%;	2;	1;	1;	0;	80%;	100%;	2;	0;	2;	0;	81%;	100%;	64%;	89%;	49%;	68%;	27%;	53%;	5%;	48%;	
20000;	6;	2997;	7000;	7973;	2027;	98%;	1;	0;	0;	1;	88%;	100%;	1;	1;	0;	0;	74%;	100%;	1;	0;	1;	0;	82%;	100%;	62%;	89%;	46%;	68%;	26%;	52%;	5%;	48%;	
25000;	6;	3747;	8750;	9973;	2527;	100%;	1;	1;	0;	0;	82%;	100%;	1;	1;	0;	0;	72%;	100%;	1;	1;	0;	0;	85%;	83%;	61%;	89%;	46%;	68%;	25%;	52%;	5%;	49%;	
30000;	6;	4497;	10500;	11950;	3050;	99%;	1;	1;	0;	0;	81%;	100%;	1;	0;	1;	0;	88%;	100%;	0;	0;	0;	0;	86%;	100%;	61%;	89%;	45%;	69%;	25%;	52%;	5%;	48%;	
35000;	6;	5247;	12250;	13751;	3749;	100%;	1;	1;	0;	0;	93%;	100%;	2;	1;	0;	1;	82%;	100%;	0;	0;	0;	0;	95%;	100%;	60%;	89%;	44%;	69%;	25%;	53%;	5%;	48%;	
40000;	6;	5997;	14000;	16413;	3587;	100%;	2;	1;	0;	1;	88%;	100%;	1;	1;	0;	0;	79%;	100%;	0;	0;	0;	0;	92%;	100%;	69%;	89%;	52%;	68%;	28%;	52%;	5%;	47%;	
45000;	6;	6747;	15750;	17629;	4871;	100%;	1;	1;	0;	0;	77%;	100%;	1;	1;	0;	0;	73%;	100%;	0;	0;	0;	0;	87%;	100%;	60%;	89%;	44%;	68%;	24%;	52%;	5%;	46%;	
50000;	6;	7497;	17500;	20793;	4207;	100%;	1;	1;	0;	0;	90%;	100%;	1;	1;	0;	0;	86%;	100%;	0;	0;	0;	0;	96%;	100%;	70%;	89%;	53%;	68%;	29%;	52%;	5%;	49%;	
5000;	7;	747;	1750;	2089;	411;	99%;	2;	0;	1;	1;	83%;	100%;	2;	2;	0;	0;	87%;	71%;	0;	0;	0;	0;	90%;	100%;	64%;	89%;	49%;	67%;	26%;	51%;	4%;	48%;	
10000;	7;	1497;	3500;	3996;	1004;	99%;	1;	1;	0;	0;	72%;	100%;	0;	0;	0;	0;	85%;	100%;	0;	0;	0;	0;	84%;	100%;	59%;	88%;	43%;	68%;	23%;	51%;	4%;	45%;	
15000;	7;	2247;	5250;	6267;	1233;	100%;	1;	1;	0;	0;	74%;	100%;	1;	0;	0;	1;	83%;	100%;	0;	0;	0;	0;	86%;	100%;	60%;	88%;	46%;	67%;	25%;	51%;	4%;	47%;	
20000;	7;	2997;	7000;	8369;	1631;	99%;	1;	1;	0;	0;	84%;	100%;	0;	0;	0;	0;	87%;	100%;	0;	0;	0;	0;	87%;	100%;	64%;	88%;	48%;	67%;	26%;	51%;	4%;	47%;	
25000;	7;	3747;	8750;	9835;	2665;	100%;	1;	1;	0;	0;	76%;	100%;	0;	0;	0;	0;	83%;	100%;	0;	0;	0;	0;	82%;	100%;	56%;	88%;	41%;	68%;	22%;	52%;	5%;	45%;	
